meter_date,meter_time,LAeq,one_third_octave_LAeq_6_3,one_third_octave_LAeq_8_0,one_third_octave_LAeq_10_0,one_third_octave_LAeq_12_5,one_third_octave_LAeq_16_0,one_third_octave_LAeq_20_0,one_third_octave_LAeq_25_0,one_third_octave_LAeq_31_5,one_third_octave_LAeq_40_0,one_third_octave_LAeq_50_0,one_third_octave_LAeq_63_0,one_third_octave_LAeq_80_0,one_third_octave_LAeq_100,one_third_octave_LAeq_125,one_third_octave_LAeq_160,one_third_octave_LAeq_200,one_third_octave_LAeq_250,one_third_octave_LAeq_315,one_third_octave_LAeq_400,one_third_octave_LAeq_500,one_third_octave_LAeq_630,one_third_octave_LAeq_800,one_third_octave_LAeq_1000,one_third_octave_LAeq_1250,one_third_octave_LAeq_1600,one_third_octave_LAeq_2000,one_third_octave_LAeq_2500,one_third_octave_LAeq_3150,one_third_octave_LAeq_4000,one_third_octave_LAeq_5000,one_third_octave_LAeq_6300,one_third_octave_LAeq_8000,one_third_octave_LAeq_10000,one_third_octave_LAeq_12500,one_third_octave_LAeq_16000,one_third_octave_LAeq_20000
2024-12-23,09:36:04,65.6,-27.5,-26.6,-23.3,-16.0,1.3,10.0,16.3,12.9,16.3,20.8,19.8,28.1,41.4,41.6,33.1,47.8,51.2,55.5,59.7,60.4,52.2,50.3,50.6,49.0,55.9,49.5,46.9,44.2,45.8,38.3,40.8,30.7,28.6,22.4,13.9,2.0
2024-12-23,09:36:05,62.2,-31.0,-27.8,-30.8,-18.1,2.9,7.1,18.1,15.0,17.3,22.2,18.5,25.0,42.7,38.1,30.6,48.1,47.5,53.4,55.2,56.5,50.2,50.1,49.3,47.1,48.4,46.4,44.9,40.9,42.1,37.9,34.1,29.3,26.4,21.0,14.0,1.1
2024-12-23,09:36:06,58.5,-37.1,-29.6,-28.5,-17.0,1.6,10.3,23.5,11.3,17.5,19.5,19.7,21.6,43.7,30.1,26.4,48.8,40.7,50.1,50.2,51.5,47.5,42.8,44.4,43.5,50.7,40.7,41.9,32.9,41.4,37.8,35.1,33.2,26.1,18.7,9.9,-1.6
2024-12-23,09:36:07,54.3,-38.7,-33.4,-25.2,-20.0,-0.1,19.1,20.4,15.9,25.0,27.1,17.7,24.7,34.6,29.7,30.8,42.6,40.1,41.4,47.4,49.9,41.1,44.6,41.1,32.7,33.2,33.5,33.9,30.8,30.1,28.6,27.2,24.3,20.9,16.8,10.7,-0.7
2024-12-23,09:36:08,54.9,-37.2,-27.6,-26.3,-15.8,8.7,8.4,17.0,10.0,17.3,23.0,18.7,27.4,37.6,28.8,34.9,45.3,38.3,41.8,46.4,48.0,46.8,44.8,47.6,37.1,34.3,34.8,33.6,31.7,31.8,29.3,27.1,24.6,22.6,16.6,9.3,-3.5
2024-12-23,09:36:09,65.1,-39.0,-26.1,-24.2,-20.3,8.2,10.1,18.2,12.7,24.2,23.1,20.1,29.6,45.5,46.5,34.7,52.1,55.5,57.1,55.1,59.2,46.1,48.5,52.1,54.1,52.8,49.6,48.9,49.9,40.0,36.3,40.2,40.1,30.1,22.1,11.9,-0.4
2024-12-23,09:36:10,63.8,-44.6,-30.5,-30.8,-14.7,-3.5,15.8,22.4,13.5,22.2,24.2,20.8,26.8,42.2,41.3,33.2,45.6,49.7,48.1,52.7,55.1,50.2,50.5,51.8,50.5,57.6,54.1,51.9,51.5,45.7,42.4,46.4,42.4,38.3,24.2,15.0,2.4
2024-12-23,09:36:11,57.6,-46.1,-36.1,-31.4,-15.2,1.6,14.8,20.1,15.3,23.0,26.5,22.9,29.2,40.4,35.0,33.5,42.0,42.1,43.4,47.1,47.9,45.5,44.6,43.0,51.0,49.3,43.5,43.2,45.7,40.5,35.9,39.8,36.0,32.3,19.8,10.3,-2.2
2024-12-23,09:36:12,62.0,-33.9,-31.3,-31.1,-13.3,4.5,15.8,20.9,7.8,25.5,26.0,20.8,28.8,40.4,39.4,31.3,44.6,45.3,47.4,49.4,55.2,54.8,51.2,52.4,51.3,48.7,50.0,47.3,45.6,41.6,37.6,35.4,32.2,26.9,19.6,11.5,-1.0
2024-12-23,09:36:13,63.0,-35.0,-29.3,-20.7,-11.3,3.8,16.6,15.1,12.9,16.6,20.3,29.2,28.1,40.7,37.1,32.8,45.8,47.1,48.3,53.3,59.9,50.2,45.8,47.0,53.3,52.2,44.6,43.2,42.8,39.8,36.2,36.1,31.4,28.0,23.1,15.7,3.4
2024-12-23,09:36:14,67.7,-32.1,-25.5,-23.5,-10.9,2.5,13.1,8.7,17.9,20.4,24.0,24.4,24.0,43.4,41.1,33.7,50.6,52.2,55.5,60.4,63.8,56.1,55.0,53.0,55.3,55.7,52.0,43.7,48.0,44.7,36.0,40.3,33.2,31.9,20.8,13.8,1.3
